NUMBER,ANAL,SAMPLET,SAMPLED,DESCRIP,TYPE,CLIENT,LOCATION,SUBLOC,STATION,DEPTH,NO3,NO2,NH4,SUSPN,TDN,SRP,SUSPP,TDP,DOC,SUSPC,GF-CHL,HPLC-CHLA,COND,PH,Comments for DOC
,,,,,,,,,,,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µmol/L,µg/L,µg/L,µg/L,µS/cm @25°C,,
4349.0,M,17:07,5/19/2017,MANITOBA,LA,HERBERT,LWPO,,171986,0,,,,128,585,1,14,7,,1310,4.46,2.50,962,8.60,
4350.0,M,17:56,5/19/2017,MANITOBA,LA,HERBERT,LWPO,,LWPO_M,0,,,,113,514,2,15,9,,1190,2.88,1.53,895,8.61,
4351.0,M,18:05,5/19/2017,MANITOBA,LA,HERBERT,LWPO,,LWPO_M,4.5,,,,148,589,4,16,14,,1420,3.51,1.82,913,8.60,
4352.0,M,09:48,5/20/2017,MANITOBA,LA,HERBERT,LMB,,LMB_M,0,,,,117,593,1,12,10,,1120,2.65,1.45,828,8.58,
4353.0,M,10:46,5/20/2017,MANITOBA,LA,HERBERT,LMB,,168935,0,,,,131,607,2,10,5,3222,1020,2.16,1.21,859,8.58,
4354.0,M,11:27,5/20/2017,MANITOBA,LA,HERBERT,LMB,,165947,0,,,,131,597,-1,12,6,,1110,2.35,1.38,892,8.58,
4355.0,M,15:35,5/20/2017,MANITOBA,LA,HERBERT,LWH,,LWH_M,0,,,,109,557,1,9,5,2915,1010,2.35,1.39,800,8.57,
4356.0,M,08:35,5/21/2017,MANITOBA,LA,HERBERT,LMB,,139884,0,,,,142,796,4,12,17,1111,1530,3.30,2.38,1049,8.55,
4357.0,M,09:16,5/21/2017,MANITOBA,LA,HERBERT,LMB,,145886,0,,,,174,685,-1,14,7,,1570,3.65,2.68,997,8.60,
4358.0,M,12:49,5/21/2017,MANITOBA,LA,HERBERT,LMB,,070833,0,,,,194,672,2,20,11,2530,1940,4.65,3.43,1062,8.69,
4359.0,M,09:56,5/23/2017,MANITOBA,LA,HERBERT,LMB,,027854,0,,,,437,602,1,63,12,1090,4740,18.33,14.05,882,8.63,
4360.0,M,10:48,5/23/2017,MANITOBA,LA,HERBERT,LMB,,030847,0,,,,505,649,6,79,24,4592,4780,28.64,20.61,815,8.59,
4369.0,M,14:00,5/31/2017,BAYSYS,EX,KAMULA,,,LGS,,-1,5,13,91,377,3,25,8,,1050,3.80,N/S,0,8.39,
4370.0,M,15:00,5/31/2017,BAYSYS,EX,KAMULA,,,LGS-2,,-1,5,10,112,367,3,25,8,,1200,4.16,N/S,0,8.38,
4373.0,M,08:00,6/14/2017,BAYSYS,EX,KAMULA,,,LGS,0,-1,5,,93,418,,19,11,,820,5.10,,N/S,N/S,
4386.0,M,08:00,6/28/2017,BAYSYS,EX,KAMULA,,,LGS,,-1,6,,118,394,,26,13,712,1130,5.32,,322,8.46,
4387.0,M,08:00,7/7/2017,BAYSYS,EX,KAMULA,,,LGS,,-1,6,,99,385,,26,13,,1010,6.39,,333,8.49,
4424.0,M,08:45,7/24/2017,MANITOBA,LA,HERBERT,LMB,,LLS001,0,,,,393,885,48,71,62,,3810,17.03,,662,8.67,
4425.0,M,14:20,7/24/2017,MANITOBA,LA,HERBERT,LMB,,LKS009,0,,,,488,752,72,35,82,,5330,12.65,,1008,8.66,
4426.0,M,11:10,7/25/2017,MANITOBA,LA,HERBERT,SWR,,LES011,0,,,,116,728,46,27,61,,1350,3.85,,542,8.67,
4427.0,M,12:00,7/25/2017,MANITOBA,LA,HERBERT,WDR,,LES015,0,,,,85,614,55,18,66,,1050,1.67,,367,8.62,
4428.0,M,13:25,7/25/2017,MANITOBA,LA,HERBERT,NDR,,LGS001,0,,,,67,549,73,11,84,,610,1.41,,496,8.71,
4429.0,M,09:40,7/26/2017,MANITOBA,LA,HERBERT,WHR,,LHS002,0,,,,173,725,75,16,87,,1560,3.98,,955,8.59,
4430.0,M,11:58,7/26/2017,MANITOBA,LA,HERBERT,DR,,LMS003,0,,,,270,799,46,17,56,,2810,5.60,,966,8.63,
4431.0,M,14:00,7/26/2017,MANITOBA,LA,HERBERT,LMB,,LMS001,0,,,,348,696,78,25,85,,3910,7.14,,941,8.65,
